"variable","n","media","mediana","desviacion","cv_porcentaje","minimo","maximo","rango","p10","p25","p75","p90","iqr","skewness","locomotora"
"Agua (L/km)",16,277.83,266,94.97,34.2,136.22,487.07,350.85,166.94,210.56,332.86,381.1,122.31,0.384,"AND240-4253"
"Carbón (kg/km)",16,32.17,30.08,15.13,47,8.01,61.81,53.8,16.92,19.77,41.12,51.65,21.35,0.297,"AND240-4253"
"Velocidad (km/h)",16,43.49,44.35,12.28,28.2,28.4,63.2,34.8,29.45,31.3,55.35,58.4,24.05,0.137,"AND240-4253"
"Agua (L/km)",16,133.88,138.12,91.04,68,0,333.88,333.88,0,96.37,157.72,240.64,61.35,0.3,"RN141-2106"
"Carbón (kg/km)",16,12.63,10.34,10.86,86,0,38.6,38.6,0,8.57,14.31,26.84,5.74,1.116,"RN141-2106"
"Velocidad (km/h)",16,45.21,49.85,12.95,28.6,25.6,62.3,36.7,27.45,33.97,54.67,59.75,20.7,-0.234,"RN141-2106"
"Agua (L/km)",16,149.6,138.65,127.53,85.2,0,412.2,412.2,0,34.73,222.3,307.23,187.56,0.43,"MZA 1701"
"Carbón (kg/km)",16,12.34,9.68,9.55,77.3,0,34.3,34.3,2.94,7.66,14.47,26.66,6.81,0.895,"MZA 1701"
"Velocidad (km/h)",16,45.11,47.8,16.53,36.7,20.8,70.2,49.4,24.15,31.08,58.92,64.4,27.85,-0.034,"MZA 1701"
"Agua (L/km)",16,144.45,124.04,126.59,87.6,0,527.62,527.62,20.55,72.74,184.55,234.5,111.81,1.537,"MZA 1801"
"Carbón (kg/km)",16,38.71,37.98,27.66,71.4,0,82.58,82.58,4.3,17.24,55.08,78.97,37.84,0.173,"MZA 1801"
"Velocidad (km/h)",16,47.83,49.6,16.66,34.8,22.7,71,48.3,27.35,31.08,61.15,68.85,30.08,-0.061,"MZA 1801"
