"locomotora","tipo_terreno","n","agua_media","carbon_media","velocidad_media"
"AND240-4253","Ascenso",1,370.2,61.8,60
"AND240-4253","Descenso",7,220.6,22.5,43.5
"AND240-4253","Mixto",2,259,41.4,56
"AND240-4253","Ondulado",4,351.7,35.2,37
"MZA 1701","Ascenso",1,153.2,13.6,66.4
"MZA 1701","Descenso",7,142.3,8.2,45.2
"MZA 1701","Mixto",2,117.9,9.4,64
"MZA 1701","Ondulado",4,133.9,15.8,35
"MZA 1801","Ascenso",1,136.8,82.6,66.4
"MZA 1801","Descenso",7,132.7,30.6,44.7
"MZA 1801","Mixto",2,119.3,59,59.9
"MZA 1801","Ondulado",4,222.2,38.4,39.3
"RN141-2106","Ascenso",1,165.5,14.5,62
"RN141-2106","Descenso",7,125.5,6.8,46.7
"RN141-2106","Mixto",2,113.6,12.3,55.6
"RN141-2106","Ondulado",4,116.7,16.6,36.5
