"distancia_km","cota","pendiente","curvatura","elemento","tipo_elemento","curvatura_magnitud"
0,1046.28,0,0,NA,0,0
0.0151226807,1046.28,0,0,"Soria-Cañuelo",1,0
0.0350475159,1046.28,0,0,NA,0,0
0.0750475159,1046.28,0,0,NA,0,0
0.0800475159,1046.28,0,0,NA,0,0
0.110047516,1046.28,0,0,NA,0,0
0.113047516,1046.28,0,-0.009872818,NA,0,0.009872818
0.123015152,1046.28,0,-0.009872818,NA,0,0.009872818
0.132982788,1046.28,0,0,NA,0,0
0.153474991,1046.28,0,0,NA,0,0
0.154767517,1046.28,0,0.009872818,NA,0,0.009872818
0.164735153,1046.28,0,0.009872818,NA,0,0.009872818
0.174702789,1046.28,0,0,NA,0,0
0.180194992,1046.28,0,-0.009872818,NA,0,0.009872818
0.190162628,1046.28,0,-0.009872818,NA,0,0.009872818
0.200130264,1046.28,0,0,NA,0,0
0.205622467,1046.28,0,0,NA,0,0
0.210622467,1046.28,0,0,NA,0,0
0.220622467,1046.28,0,0,NA,0,0
0.225622467,1046.28,0,0,NA,0,0
0.23111467,1046.28,0,0.009872818,NA,0,0.009872818
0.2410823,1046.28,0,0.009872818,NA,0,0.009872818
0.251049942,1046.28,0,0,NA,0,0
0.267685242,1046.28,0,0,NA,0,0
0.317685242,1046.28,0,0.009872818,NA,0,0.009872818
0.327652863,1046.28,0,0.009872818,NA,0,0.009872818
0.337620483,1046.28,0,0,NA,0,0
0.338913025,1046.28,0,0.00404028129,NA,0,0.00404028129
0.360512115,1046.26,0,0.00404028129,NA,0,0.00404028129
0.403710327,1046.26,0,0,NA,0,0
0.404710327,1046.26,0,0,NA,0,0
0.4055103,1046.26,0,0,NA,0,0
0.4110025,1046.26,-0.521605,0.00266666664,NA,0,0.00266666664
0.418355347,1046.22,-0.521605,0.00266666664,"80",3,0.00266666664
0.418555542,1046.22,-0.521605,0.00266666664,"30",4,0.00266666664
0.443727417,1046.09,-0.782401,0.00266666664,NA,0,0.00266666664
0.476452332,1045.83,-1.04321992,0.00266666664,NA,0,0.00266666664
0.509177246,1045.49,-1.30401,0.00266666664,NA,0,0.00266666664
0.541902161,1045.06,-1.56481993,0.00266666664,NA,0,0.00266666664
0.5746271,1044.55,-1.54693,0.00266666664,NA,0,0.00266666664
0.607352,1044.04,-1.56481993,0.00266666664,NA,0,0.00266666664
0.6400769,1043.52,-1.54693,0.00266666664,NA,0,0.00266666664
0.6728018,1043.01,-1.51727009,0.00266666664,NA,0,0.00266666664
0.705526733,1042.51,-1.47606,0.00266666664,NA,0,0.00266666664
0.738251648,1042.02,-1.5708,0,NA,0,0
0.788251648,1041.23,-1.30899,0,NA,0,0
0.813251648,1040.91,-1.0472,0,NA,0,0
0.838251648,1040.65,-0.785399,0,NA,0,0
0.843251648,1040.61,-0.5236,0,NA,0,0
0.848251648,1040.58,-0.2618,0,NA,0,0
0.853251648,1040.57,0,0,NA,0,0
0.863251648,1040.57,-0.261798978,0,NA,0,0
